nameWithOwner;tag;typeRelease;isFirstRow(bool);isNotaMax(bool);isLOCchanged(bool);isMetricChanged(bool);qtDias;porcValF(%);deltaLOC(qtd);deltaSLOC(qtd);deltaMIF(%);deltaMIT(%);deltaDiff(%);deltaEff(%);deltaTimeH(%);deltaBug(%);deltaFiles(qtd);totalFiles(qtd)
aio-libs/aiohttp;v0.14.2;VR;0;0;1;0;8;81,8;101;75;0,0;0,0;0,0;0,0;0,0;0,0;0;55
aio-libs/aiohttp;v0.14.3;VR;0;0;1;1;5;82,1;63;47;0,0;5,81;-10,0;-5,17;-5,17;-1,94;1;56
aio-libs/aiohttp;v0.14.4;VR;0;0;1;0;1;82,1;8;6;0,0;0,0;0,0;0,0;0,0;0,0;0;56
aio-libs/aiohttp;v0.15.0;VR;0;0;1;1;57;83,1;2893;2090;-1,26;-8,94;11,11;10,75;10,75;5,92;9;65
aio-libs/aiohttp;v0.15.1;VR;0;0;1;1;4;83,6;379;311;1,01;2,02;0,0;0,0;0,0;1,33;2;67
aio-libs/aiohttp;v0.15.2;VR;0;0;1;1;19;84,1;903;757;1,39;13,45;0,0;-8,77;-8,77;-3,68;2;69
aio-libs/aiohttp;v0.15.3;VR;0;0;1;0;3;84,1;87;61;0,0;0,0;0,0;0,0;0,0;0,0;0;69
aio-libs/aiohttp;v0.16.0;VR;0;0;1;1;34;81,9;232;195;-1,11;-11,43;0,0;-4,37;-4,37;-1,36;3;72
aio-libs/aiohttp;v0.16.1;VR;0;0;0;0;1;81,9;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;72
aio-libs/aiohttp;v0.16.2;VR;0;0;1;0;0;81,9;10;9;0,0;0,0;0,0;0,0;0,0;0,0;0;72
aio-libs/aiohttp;v0.16.3;VR;0;0;1;0;3;81,9;39;29;0,0;0,0;0,0;0,0;0,0;0,0;0;72
aio-libs/aiohttp;v0.16.4;VR;0;0;1;0;14;81,9;8;7;0,0;0,0;0,0;0,0;0,0;0,0;0;72
aio-libs/aiohttp;v0.16.5;VR;0;0;1;0;0;81,9;32;28;0,0;0,0;0,0;0,0;0,0;0,0;0;72
aio-libs/aiohttp;v0.16.6;VR;0;0;0;0;32;81,9;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;72
aio-libs/aiohttp;v0.17.0;VR;0;0;1;1;20;82,4;758;591;1,27;13,01;0,0;-2,14;-2,14;-3,87;2;74
