nameWithOwner;createdAt;countNV;countNM;countNF;countVR;totRel(qtd);countMetChange;countNotaMax;porcValF(%)(med);qtDiasEntreRel(med);qtDiasEntreChangedRel(med);qtDiasLastFirst;deltaLOC(qtd);deltaSLOC(qtd);deltaMIF;deltaMIT;deltaDiff;deltaEff;deltaTimeH;deltaBug;deltaFiles(qtd);totalFiles(qtd)(med)
robotframework/robotframework;2014-06-27;0;0;0;37;37;32;0;86,7;24,0;29,0;2029;25807;17529;-0,62;-0,33;12,5;72,97;72,97;45,51;107;580,0
rougier/numpy-100;2014-05-27;0;0;2;0;2;0;0;nan;411,5;nan;2029;0;0;0;0;0;0;0;0;0;nan
rq/rq;2011-11-14;0;0;0;8;7;7;0;96,1;34,0;33,0;449;1680;1134;-2,82;1,24;-10,0;-6,56;-6,56;-4,01;5;51,0
rsms/inter;2017-08-22;1;0;0;44;45;28;0;74,3;5,0;26,0;962;3385;2182;17,49;17,49;-20,99;-64,85;-64,85;-59,91;19;42,0
rusty1s/pytorch_geometric;2017-10-06;0;0;0;19;19;18;0;100,0;36,0;32,0;731;26314;16817;-15,21;-7,56;63,03;324,2;324,2;199,38;327;286,0
rwightman/pytorch-image-models;2019-02-02;0;0;0;9;8;8;0;100,0;43,0;36,5;396;13719;9785;0,82;6,73;8,84;82,95;82,95;48,62;63;68,0
s0md3v/Photon;2018-03-30;0;0;0;18;18;17;0;100,0;4,5;3,0;256;441;315;84,25;84,25;-85,8;-99,58;-99,58;-97,1;15;4,0
s0md3v/XSStrike;2017-06-26;0;0;0;14;14;12;0;100,0;3,0;3,0;418;1153;913;-4,61;-4,61;0,0;-18,42;-18,42;-12,47;9;22,0
s3tools/s3cmd;2011-06-07;0;0;0;7;7;6;0;96,0;267,0;225,5;1847;6257;4288;-20,04;-14,85;59,12;445,83;445,83;227,61;3;25,0
samuelcolvin/pydantic;2017-05-03;0;0;0;70;70;64;8;89,6;10,0;12,0;1083;17536;13068;98,0;77,99;-100,0;-100,0;-100,0;-100,0;164;78,0
samuelhwilliams/Eel;2017-12-27;0;0;0;16;14;11;0;100,0;15,5;27,0;504;268;166;0,0;0,0;0,0;0,0;0,0;0,0;4;17,0
santinic/pampy;2018-11-08;0;0;0;3;3;2;0;88,9;7,0;6,5;13;94;90;-5,01;-2,52;-24,26;-38,23;-38,23;-15,4;1;9,0
satwikkansal/wtfpython;2017-08-28;0;0;0;2;2;1;0;62,5;422,5;698,0;698;534;372;-4,81;-3,31;150,0;1759,49;1759,49;402,37;2;7,0
saulpw/visidata;2016-10-27;2;0;0;18;20;15;0;45,1;33,5;39,0;724;6863;5167;-23,6;-22,23;230,88;1409,37;1409,37;542,32;63;44,5
scikit-image/scikit-image;2011-07-07;0;0;0;4;3;3;0;98,7;201,0;144,0;410;15462;7062;1,18;-0,09;9,09;7,31;7,31;3,67;73;523,0
scikit-learn-contrib/imbalanced-learn;2014-08-16;0;0;0;26;26;17;0;88,0;14,0;59,0;1431;10582;7723;-12,09;-5,35;-25,0;22,01;22,01;55,49;47;117,0
scrapy/scrapy;2010-02-22;0;0;0;15;15;14;0;95,5;61,0;49,0;1360;4558;6510;-10,82;-14,5;50,0;340,6;340,6;167,66;-42;315,0
sdispater/pendulum;2016-06-27;0;0;0;43;43;39;37;98,9;12,0;12,0;1334;15905;10690;-39,39;-39,08;1,0;150,63;8,37;0,04;84;172,0
seatgeek/fuzzywuzzy;2011-07-08;0;0;0;23;23;17;0;88,9;29,0;40,0;1999;660;360;-1,45;1,45;31,58;115,24;115,24;40,21;2;9,0
sebastianruder/NLP-progress;2018-06-22;0;0;0;3;3;0;0;100,0;37,0;nan;68;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;1,0
seemoo-lab/opendrop;2019-05-14;0;0;0;2;2;1;0;94,45;109,5;6,0;6;70;64;16,86;9,35;-54,09;-69,12;-69,12;-57,05;1;9,5
shenweichen/DeepCTR;2017-10-07;0;0;0;27;26;26;0;94,4;18,0;16,5;576;9608;4831;20,13;5,0;-50,5;-91,16;-91,16;-84,42;78;66,0
shobrook/rebound;2018-02-28;0;0;0;4;4;1;0;75,0;31,5;232,0;232;63;65;-4,92;-4,92;50,0;517,84;517,84;233,92;2;4,0
simonw/datasette;2017-10-23;0;0;0;53;49;51;0;91,2;9,0;9,0;958;12668;10169;-5,36;-20,27;328,0;1113,38;1113,38;375,44;59;50,0
SirVer/ultisnips;2011-12-30;0;0;0;3;3;2;0;97,5;813,0;1027,0;2054;7783;5654;-26,81;-23,48;-10,8;319,13;319,13;260,68;34;79,0
sivel/speedtest-cli;2012-09-10;0;0;0;21;21;6;0;66,7;76,0;207,5;2193;-418;-366;60,05;55,89;-84,56;-99,71;-99,71;-98,11;1;3,0
skorch-dev/skorch;2017-07-18;0;0;0;7;7;6;0;96,4;135,0;112,5;709;8313;5195;-3,98;-2,69;3,71;17,64;17,64;-5,74;24;56,0
slackapi/python-slackclient;2014-11-10;0;0;0;34;34;31;0;100,0;23,5;20,0;1577;15665;10968;14,14;15,95;81,82;-12,68;-12,68;-42,59;88;18,0
sloria/TextBlob;2013-06-30;0;0;0;3;3;2;0;93,7;11,0;6,0;12;-1405;-578;2,03;1,68;-5,82;-29,1;-29,1;-16,7;8;271,0
smacke/ffsubsync;2019-02-24;2;0;0;4;6;3;0;100,0;4,0;1,0;8;170;158;-10,6;-10,6;57,26;102,94;102,94;73,62;1;14,0
snare/voltron;2013-06-25;0;0;0;7;7;6;0;88,5;11,0;10,5;165;1135;883;-14,81;-5,85;0,0;0,0;0,0;0,0;3;52,0
snipsco/snips-nlu;2017-02-08;0;0;0;58;58;51;0;94,4;8,0;9,0;1002;20896;15370;7,69;14,04;27,27;259,14;259,14;64,37;71;89,0
snorkel-team/snorkel;2016-02-26;0;0;0;11;11;10;0;83,4;55,0;51,0;1180;10932;5989;12,9;11,8;-84,75;-99,43;-99,43;-96,55;113;144,0
soimort/you-get;2012-08-20;0;0;0;104;104;98;0;88,7;16,5;17,0;2462;8656;6277;1,07;1,25;10,27;56,31;56,31;37,32;89;118,0
spotify/luigi;2012-09-20;0;0;0;48;48;43;0;98,1;35,0;39,0;2208;36512;20858;-2,37;-7,19;50,0;86,38;86,38;53,75;116;215,5
spyoungtech/grequests;2012-05-10;0;0;0;3;3;2;0;100,0;248,0;125,5;251;10;8;-1,24;-3,15;41,03;93,46;93,46;37,18;0;3,0
sripathikrishnan/redis-rdb-tools;2012-03-10;0;0;0;10;9;8;0;89,75;116,0;132,5;1410;1212;914;-6,58;-6,49;0,0;12,03;12,03;4,14;5;19,5
StackStorm/st2;2014-04-23;0;0;0;62;62;59;0;83,0;19,5;20,0;1884;121733;79270;-0,83;-1,3;0,0;39,32;39,32;46,5;719;872,0
stamparm/maltrail;2014-12-04;0;0;0;11;10;10;0;97,7;73,0;71,5;1638;4046;3033;0,0;0,0;-4,84;0,0;0,0;0,0;20;90,0
StevenBlack/hosts;2012-04-12;0;0;0;249;245;21;0;75,0;3,0;6,0;855;260;245;-8,1;-11,26;0,0;0,0;0,0;0,0;0;4,0
streamlink/streamlink;2016-09-16;0;0;0;28;28;24;0;98,05;37,5;42,0;1309;22988;17698;17,76;19,16;-60,0;-94,13;-94,13;-82,39;336;341,0
SublimeText-Markdown/MarkdownEditing;2012-05-17;0;0;0;13;13;10;0;100,0;67,0;68,5;820;1110;788;-1,0;-2,61;-55,0;-67,07;-67,07;-11,14;9;15,0
taoufik07/responder;2018-10-09;0;0;0;3;3;2;0;92,0;136,0;119,5;239;273;130;-4,15;11,78;0,0;-55,09;-55,09;-10,18;2;25,0
tensorflow/cleverhans;2016-09-15;0;0;0;6;6;5;0;88,25;110,5;156,0;799;29735;18964;-21,8;-22,04;126,57;569,33;569,33;335,99;147;72,5
tensorflow/tensor2tensor;2017-06-15;0;0;0;75;75;73;0;99,5;7,0;7,0;1093;112297;70772;-7,75;-5,23;0,92;-1,49;-1,49;-4,25;381;149,0
tensorflow/tensorboard;2017-05-15;0;0;0;33;33;29;0;100,0;25,0;25,0;1015;59595;39253;0,02;0,26;0,0;-10,71;-10,71;-5,61;234;176,0
tensorforce/tensorforce;2017-03-19;0;0;0;8;8;7;0;98,55;62,0;51,0;670;1021;-180;3,06;-4,6;-21,05;-22,54;-22,54;-18,37;-7;141,5
tensorlayer/tensorlayer;2016-06-07;0;0;0;74;74;69;0;98,1;10,5;11,0;1360;35745;20940;13,74;18,15;-31,99;-73,77;-73,77;-56,42;217;75,5
tensorpack/tensorpack;2015-12-25;0;0;0;3;3;2;0;96,6;432,0;260,0;520;10753;6067;-10,4;-7,22;27,52;109,39;109,39;49,66;37;233,0
tflearn/tflearn;2016-03-31;0;0;0;7;7;6;0;98,9;61,0;46,5;383;6037;3336;-6,33;-8,33;0,0;8,82;8,82;93,45;24;91,0
tgalal/yowsup;2012-11-03;0;0;0;15;15;14;15;98,5;36,0;36,0;1591;7905;5978;0,0;0,0;0,0;0,0;0,0;0,0;122;283,0
the0demiurge/ShadowSocksShare;2017-08-27;0;0;0;5;5;1;0;90,4;1,0;493,0;493;3;3;-0,81;-0,81;0,0;7,6;7,6;0,29;0;52,0
timofurrer/maya;2016-12-16;0;0;0;7;7;4;0;90,0;5,0;8,0;241;143;94;0,0;0,0;0,0;0,0;0,0;0,0;0;10,0
timothycrosley/isort;2013-09-02;0;0;0;60;55;42;13;88,9;1,0;1,0;2497;8277;6551;-24,84;-18,36;0,52;4,5;0,25;0,0;61;14,0
tmux-python/tmuxp;2013-08-27;0;0;0;66;66;63;3;100,0;1,0;1,0;1277;-1414;-381;68,61;62,17;-100,0;-100,0;-100,0;-100,0;16;36,0
tqdm/tqdm;2015-06-03;0;0;0;85;84;74;0;92,9;11,0;15,5;1722;3220;2166;-14,67;-9,47;20,0;105,31;105,31;131,02;41;26,0
trailofbits/algo;2016-05-15;0;0;0;2;2;1;0;100,0;586,0;134,0;134;619;469;-27,11;-21,32;116,82;6735,15;6735,15;1983,65;1;3,5
Tribler/tribler;2013-02-25;13;0;0;87;100;80;0;94,8;11,0;14,0;2395;9637;6343;7,29;16,83;-50,71;-92,31;-92,31;-81,37;63;370,0
tweepy/tweepy;2009-07-06;0;0;0;11;11;10;2;88,5;190,0;144,0;2192;2823;1954;-30,81;-26,35;2,0;106,61;5,92;0,02;1;26,0
twintproject/twint;2017-06-10;0;0;0;9;9;8;0;100,0;15,0;13,0;597;2692;2401;10,95;-10,14;-81,08;-95,12;-95,12;-83,78;22;23,0
tzutalin/labelImg;2015-09-17;0;0;0;2;2;1;0;73,7;586,5;0,0;0;144;99;-2,96;-7,46;0,0;0,0;0,0;0,0;4;23,0
uber/ludwig;2018-12-27;0;0;0;6;6;5;0;92,05;69,0;81,0;389;9374;6551;11,22;8,5;-44,44;-57,92;-57,92;-32,11;39;88,5
Uberi/speech_recognition;2014-04-23;0;0;0;23;23;21;0;33,3;11,0;11,0;826;-108;-22;31,12;26,08;-90,1;-99,95;-99,95;-99,13;7;9,0
ubuntu/microk8s;2018-05-09;0;0;0;3;3;2;0;80,6;57,0;32,5;65;1492;1028;-8,87;-6,83;75,35;356,53;356,53;124,64;8;40,0
ufoym/deepo;2017-10-27;0;0;1;1;2;0;0;91,3;15,5;nan;65;0;0;0;0;0;0;0;0;0;23,0
vaexio/vaex;2014-09-27;0;0;0;4;4;3;0;52,7;310,0;469,0;1128;22970;17018;-17,92;-17,23;25,41;38,24;38,24;60,14;121;84,5
wangshub/wechat_jump_game;2017-12-29;0;0;0;2;2;1;0;100,0;5,0;5,0;5;53;22;4,14;10,06;1,0;-4,58;-4,58;-6,39;1;9,5
webpy/webpy;2008-09-29;0;0;0;3;3;1;0;83,9;176,0;176,0;180;113;62;-0,75;0,0;0,0;0,0;0,0;0,0;0;31,0
what-studio/profiling;2014-09-03;0;0;0;2;2;1;0;96,15;239,0;135,0;135;1436;929;-13,13;-9,05;32,21;456,99;456,99;160,55;6;26,0
wifiphisher/wifiphisher;2014-09-26;0;1;0;3;4;2;0;76,9;276,0;201,5;403;7293;3359;-4,18;-3,2;-22,86;-1,38;-1,38;26,71;20;13,0
wkentaro/labelme;2016-05-09;0;0;0;37;37;21;0;77,8;4,0;8,0;428;1413;1165;0,51;0,51;32,48;49,46;49,46;18,69;20;37,0
xmendez/wfuzz;2014-10-22;0;1;0;24;25;17;8;14,65;48,0;58,0;2026;11358;8265;-44,69;-44,21;2,08;153,04;8,5;0,02;98;95,0
xonsh/xonsh;2015-01-21;0;0;0;73;73;69;0;92,3;9,0;9,0;1884;50328;34767;31,68;28,83;-18,57;-39,04;-39,04;-20,42;305;307,0
yahoo/TensorFlowOnSpark;2017-01-20;0;0;0;19;19;18;0;96,3;28,0;27,0;715;-16394;-9565;-7,83;-1,4;-3,53;92,51;92,51;70,49;-81;84,0
yandex/gixy;2017-03-15;0;0;0;9;9;7;0;77,8;31,0;31,0;518;441;324;5,54;15,4;0,0;9,44;9,44;9,44;6;54,0
Yelp/dumb-init;2015-08-11;0;0;2;17;19;14;0;83,3;12,0;22,5;1063;849;577;-4,88;4,83;112,5;1645,17;1645,17;895,12;10;11,0
youfou/wxpy;2017-02-20;0;0;0;14;14;13;0;96,8;7,5;6,0;106;2560;1358;2,39;-1,59;0,0;192,99;192,99;68,25;28;31,0
ytisf/theZoo;2014-01-09;0;0;0;2;2;1;0;10,55;169,5;178,0;178;17;10;-0,64;-0,64;-0,99;-3,9;-3,9;-2,93;1;9,5
yzhao062/pyod;2017-10-03;0;0;0;11;10;10;0;99,0;67,0;62,5;758;10229;4740;-3,62;-9,44;85,71;860,89;860,89;172,5;59;81,0
zalando/connexion;2015-05-19;0;0;0;110;110;98;6;95,7;6,5;7,0;1801;13895;9466;-38,45;-33,64;1,0;83,59;4,64;0,02;106;44,0
zalando/patroni;2015-07-08;1;0;0;35;36;31;0;90,4;36,0;37,0;1654;9306;7013;-4,6;-10,22;-18,18;-23,59;-23,59;2,04;48;54,0
Zulko/moviepy;2013-08-12;0;0;0;13;13;12;0;97,4;42,0;40,5;2002;3820;2666;0,37;-2,15;-30,36;-38,8;-38,8;-17,29;24;122,0
zylo117/Yet-Another-EfficientDet-Pytorch;2020-04-06;0;0;0;2;2;1;0;100,0;4,0;8,0;8;1490;798;14,69;4,35;-22,58;-54,68;-54,68;-14,83;9;15,5
