nameWithOwner;createdAt;countNV;countNM;countNF;countVR;totRel(qtd);countMetChange;countNotaMax;porcValF(%)(med);qtDiasEntreRel(med);qtDiasEntreChangedRel(med);qtDiasLastFirst;deltaLOC(qtd);deltaSLOC(qtd);deltaMIF;deltaMIT;deltaDiff;deltaEff;deltaTimeH;deltaBug;deltaFiles(qtd);totalFiles(qtd)(med)
byt3bl33d3r/CrackMapExec;2015-08-14;0;10;0;14;24;13;0;72,2;11,0;28,0;1680;7514;5328;2,53;21,53;-13,04;-57,35;-57,35;-36,51;66;54,0
byt3bl33d3r/MITMf;2014-07-07;0;0;0;10;10;7;0;50,85;31,5;49,0;398;6043;4006;2,52;-5,46;83,33;628,1;628,1;269,83;48;45,5
carltongibson/django-filter;2009-01-30;0;0;0;19;19;18;0;94,9;93,0;78,5;1850;6069;4105;9,32;6,93;-25,0;-28,41;-28,41;-35,38;19;39,0
celery/celery;2009-04-24;0;0;0;9;9;8;0;89,8;45,0;30,5;2548;32224;23344;-15,18;-11,31;100,0;553,34;553,34;316,81;89;353,0
certbot/certbot;2014-11-12;0;0;0;7;7;6;0;98,5;27,0;27,0;208;2245;1865;2,35;-0,1;50,0;18,87;18,87;5,66;33;342,0
chrippa/livestreamer;2011-08-15;0;0;0;24;24;23;0;94,6;27,5;27,0;668;9657;7270;10,67;13,52;-37,5;-57,03;-57,03;-46,82;79;101,5
chriskiehl/Gooey;2014-01-01;0;0;0;3;3;1;0;88,3;216,0;273,0;273;942;591;0,0;-1,84;0,0;0,0;0,0;0,0;10;94,0
chrissimpkins/codeface;2015-06-13;1;0;0;1;2;0;0;100,0;110,5;nan;273;0;0;0;0;0;0;0;0;0;1,0
chrissimpkins/Crunch;2016-04-10;0;0;7;7;14;5;0;83,3;3,0;4,0;527;990;655;30,51;30,51;27,5;1,9;1,9;-46,56;2;6,0
christabor/flask_jsondash;2016-02-18;0;0;0;6;6;5;0;69,3;58,5;54,0;323;3684;2751;-9,96;-14,66;46,46;904,12;904,12;626,68;29;11,0
chyroc/WechatSogou;2016-05-09;0;0;0;7;7;6;0;95,2;43,0;32,5;419;993;516;-14,62;-16,84;0,0;0,0;0,0;0,0;8;21,0
cloudtools/troposphere;2012-12-12;0;0;0;53;53;51;53;97,8;36,0;36,0;2032;30864;23951;0,0;0,0;0,0;0,0;0,0;0,0;191;164,0
coala/coala;2014-05-15;1;0;0;16;17;14;0;85,65;39,0;44,5;821;21841;13154;6,06;10,18;0,0;0,0;0,0;0,0;114;253,5
codelucas/newspaper;2013-11-25;1;0;0;1;2;0;0;45,9;193,5;nan;821;0;0;0;0;0;0;0;0;0;37,0
codertimo/BERT-pytorch;2018-10-15;0;0;0;5;5;3;0;96,7;1,0;2,0;5;30;23;0,0;0,0;0,0;68,25;68,25;0,0;-3;30,0
coleifer/huey;2011-11-03;0;0;0;38;38;36;0;79,6;7,0;7,0;871;674;654;1,07;-2,82;50,99;98,83;98,83;54,76;13;47,5
coleifer/peewee;2010-10-11;2;0;0;112;114;102;0;90,3;8,0;11,5;2487;22223;17284;-26,05;-28,12;270,97;2132,82;2132,82;557,17;45;72,0
commonmark/commonmark-spec;2014-08-14;0;0;0;12;12;6;0;100,0;48,0;169,0;1544;-774;-313;-23,99;-11,37;57,12;173,89;173,89;116,93;-6;4,0
conda/conda;2012-10-15;9;0;0;120;129;114;0;94,5;5,0;5,5;1379;43499;28047;21,53;10,08;-22,93;-53,33;-53,33;-41,71;196;227,0
cookiecutter/cookiecutter;2013-07-14;0;0;0;18;18;16;0;96,6;90,0;97,0;2444;6394;3961;-12,58;-12,54;100,0;552,37;552,37;226,19;62;58,0
cowrie/cowrie;2015-05-12;0;0;0;15;15;14;0;91,7;74,0;71,0;1738;17255;10845;-6,64;6,24;-15,0;-65,2;-65,2;-53,76;110;120,0
crsmithdev/arrow;2012-11-18;0;0;0;31;31;27;0;90,5;8,0;10,0;1975;-3008;-1562;60,18;60,18;-55,53;-48,97;-48,97;-41,93;4;18,0
CTFd/CTFd;2015-01-01;1;0;0;37;38;33;0;89,1;21,0;27,0;1226;20133;15118;23,12;25,96;-52,94;-76,52;-76,52;-57,58;193;172,0
cupy/cupy;2016-11-01;4;0;0;68;72;65;2;91,75;14,5;27,0;1220;50204;34014;-40,2;-34,76;1,8;119,89;6,66;0,02;231;320,5
d2l-ai/d2l-en;2018-10-09;1;0;0;3;4;2;1;100,0;136,0;163,5;327;-1170;-714;59,37;59,37;-100,0;-100,0;-100,0;-100,0;-1;4,0
d2l-ai/d2l-zh;2017-08-23;1;0;0;9;10;7;1;100,0;27,0;37,0;909;-125;-94;68,0;68,0;-100,0;-100,0;-100,0;-100,0;1;3,0
darknessomi/musicbox;2014-08-05;0;0;0;10;10;9;0;100,0;88,5;78,0;776;-39;-158;20,62;18,46;-46,15;-86,14;-86,14;-75,94;5;16,0
datawire/ambassador;2017-03-30;10;0;0;60;69;43;0;98,3;6,0;8,0;693;23628;16327;-1,49;-2,18;-29,42;-32,73;-32,73;-25,16;96;127,0
deepfakes/faceswap;2017-12-19;1;0;0;1;2;0;0;87,9;287,5;nan;693;0;0;0;0;0;0;0;0;0;91,0
deepmind/pysc2;2017-07-25;1;0;0;4;5;2;0;98,7;64,0;151,5;303;4488;2937;-4,54;-8,88;80,0;111,33;111,33;64,3;24;66,5
deepmind/sonnet;2017-04-03;0;0;0;2;2;1;0;100,0;544,5;203,0;203;1224;764;1,16;3,3;-9,58;-8,29;-8,29;-9,57;9;119,5
deepmipt/DeepPavlov;2017-11-17;2;0;0;35;36;32;0;83,0;20,0;22,5;876;39919;22203;27,51;-2,66;37,81;99,84;99,84;39,05;288;250,0
deeppomf/DeepCreamPy;2018-02-09;0;0;0;11;11;8;0;100,0;7,0;13,0;377;299;140;13,63;11,19;-37,74;-66,6;-66,6;-51,27;4;7,0
deis/deis;2013-07-22;1;0;0;65;66;40;57;84,8;14,5;22,5;1119;7515;6277;0,0;0,0;0,0;0,0;0,0;0,0;30;80,0
Delgan/loguru;2017-08-15;0;0;0;15;15;13;1;98,4;8,0;8,0;356;13294;9655;-35,63;-35,63;0,5;15,51;0,86;0,01;139;39,0
DistrictDataLabs/yellowbrick;2016-05-18;3;0;0;15;18;13;0;99,2;65,5;71,0;994;31927;12789;-9,53;-13,69;0,0;25,69;25,69;42,98;185;85,0
django-crispy-forms/django-crispy-forms;2011-11-01;0;0;0;12;12;11;0;87,1;108,5;98,0;1735;156;-55;-30,67;-18,32;166,67;1820,68;1820,68;742,35;-7;32,0
django-haystack/django-haystack;2009-01-29;0;0;0;10;10;9;0;90,1;249,0;192,0;2020;10306;8397;13,45;10,99;0,0;192,99;192,99;192,99;31;128,5
django-tastypie/django-tastypie;2010-03-29;0;0;0;4;4;3;4;79,45;318,5;316,0;917;749;622;0,0;0,0;0,0;0,0;0,0;0,0;19;176,0
dmlc/dgl;2018-04-20;0;0;0;10;10;9;0;98,55;73,0;70,0;487;87780;51843;-4,93;-1,07;27,93;13,02;13,02;2,78;461;363,0
dmlc/gluon-cv;2018-02-26;5;0;0;2;7;1;0;94,75;112,0;56,0;56;6558;3278;0,07;-4,12;4,32;18,75;18,75;1,46;38;120,0
doccano/doccano;2018-05-09;0;0;0;5;5;4;2;76,3;7,0;7,0;143;177;165;-14,68;-10,07;0,5;1,0;0,06;0,0;-5;59,0
docker/compose;2013-12-09;1;0;0;129;128;102;0;84,9;12,0;16,5;2314;8056;6422;-25,1;-20,64;252,94;7524,15;7524,15;1803,75;50;80,0
docker/docker-py;2013-05-23;0;0;0;65;64;56;1;92,9;28,0;28,5;2086;21977;13597;-40,4;-35,99;650,0;13653,61;13653,61;4026,24;113;105,0
donnemartin/gitsome;2016-04-23;0;0;0;5;5;4;0;97,7;16,0;157,5;1063;32142;21968;-3,04;-0,85;50,0;183,78;183,78;112,83;215;130,0
donnemartin/haxor-news;2015-11-16;0;0;0;4;4;2;0;97,8;98,0;160,0;320;16;15;0,0;0,0;0,0;0,0;0,0;0,0;0;46,0
donnemartin/saws;2015-08-24;0;0;0;8;8;6;0;100,0;26,5;37,5;563;940;254;14,21;-4,39;-50,0;-44,16;-44,16;-15,27;13;28,5
